id	title
OSD-1	Expression data from drosophila melanogaster
OSD-100	Rodent Research-1 (RR1) NASA Validation Flight: Mouse eye transcriptomic and epigenomic data
OSD-101	Rodent Research-1 (RR1) NASA Validation Flight: Mouse left gastrocnemius muscle transcriptomic, proteomic, and epigenomic data
OSD-102	Rodent Research-1 (RR1) NASA Validation Flight: Mouse kidney transcriptomic, proteomic, and epigenomic data
OSD-103	Rodent Research-1 (RR1) NASA Validation Flight: Mouse quadriceps muscle transcriptomic, proteomic, and epigenomic data
OSD-104	Rodent Research-1 (RR1) NASA Validation Flight: Mouse soleus muscle transcriptomic and epigenomic data
OSD-105	Rodent Research-1 (RR1) NASA Validation Flight: Mouse tibialis anterior muscle transcriptomic, proteomic, and epigenomic data
OSD-106	Streptococcus mutans differential gene expression in response to simulated microgravity
OSD-107	The Role of PTHrP in Osteoblast Response to Microgravity: Implications for Osteoporosis Development.
OSD-108	STS-135 Liver Metabolomics
OSD-109	Delayed Cardiomyocyte Response to Total Body Particle Radiation Exposure - Identification of Regulatory Gene Network [iron]
OSD-11	Space flight alters bacterial gene expression and virulence and reveals a role for global regulator Hfq
OSD-110	The influence of simulated microgravity on the proteome of Daphnia magna
OSD-111	Global gene expression analysis highlights microgravity sensitive key genes in soleus and EDL of 30 days space flown mice
OSD-112	Microgravity effect on C. elegans N2/VC (CERISE, 4 days)
OSD-113	Expression Data from International C. elegans Experiment 1st (ICE-FIRST)
OSD-114	Gene Expression Profile Changes due to Bleomycin-Induced DNA Damage in Human Fibroblasts in Space
OSD-115	Gene expression profiling in human fibroblast after low-LET irradiation
OSD-116	Biological and Metabolic Response in STS-135 Space-flown Mouse Skin
OSD-117	Delayed Cardiomyocyte Response to Total Body Particle Radiation Exposure - Identification of Regulatory Gene Network [proton]
OSD-118	Transient gene expression profile changes of confluent human fibroblast cells in spaceflight
OSD-119	Effect of microgravity on an animal-bacteria symbiosis
OSD-12	Transcription profiling of S. cerevisiae cultures grown under low shear-modeled microgravity
OSD-120	Genetic dissection of the Arabidopsis spaceflight transcriptome: Are some responses dispensable for the physiological adaptation of plants to spaceflight?
OSD-121	Biological Research in Canisters-16 (BRIC-16): Transcriptomics, Glycomics, and Morphometric photography.
OSD-122	Microgravity induces proteomics changes involved in endoplasmic reticulum stress and mitochondrial protection
OSD-123	Exposure of zebrafish larvae to 3g and 5g hyper gravity between 5-6 days post-fertilization.
OSD-124	Effect of electromagnetic fields on the chondrogenic differentiation under microgravity conditions
OSD-125	mRNA expression profile in DLD-1 and MOLT-4 cancer cell lines cultured under Microgravity
OSD-126	Analysis of dust samples from the Russian part of the ISS
OSD-127	Global gene expression profiles of cardiac progenitors differentiated from human pluripotent stem cells in 3D culture under simulated microgravity
OSD-128	Identification of miRNAs involved in cell response to ionizing radiation and modeled microgravity
OSD-129	Gene expression profiling of PBL in response to ionizing radiation and modeled microgravity
